AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME
19977,13204,11292,2017,2,6,4,F,48843,169,166,85,404,1546,223,204
19977,14262,11292,2017,2,6,2,F,41843,166,164,0,0,776,123,105
19977,14262,11292,2017,2,6,2,F,46360,179,97,42,0,776,123,105
19977,14524,11292,2017,2,6,3,F,34772,150,138,0,0,1482,230,200
19977,14570,11292,2017,2,6,2,F,38790,166,38,0,0,804,134,99
19977,14683,11292,2017,2,6,2,F,36768,150,128,117,395,794,124,107
19977,14689,11292,2017,2,6,2,F,35694,150,109,0,0,916,141,119
19977,14771,11292,2017,2,6,2,F,48920,169,129,508,430,967,149,122
19977,14771,11292,2017,2,6,2,F,290384,732,385,8694,0,967,272,215
19977,14908,11292,2017,2,6,2,F,37980,166,159,0,679,846,132,114
19977,15016,11292,2017,2,6,2,F,36271,166,157,0,649,770,134,109
19977,15016,11292,2017,2,6,2,F,28852,128,125,24,260,770,148,111
19977,15370,11292,2017,2,6,2,F,28356,166,123,23,0,541,99,86
19393,10994,11292,2017,2,6,3,F,32200,143,107,85,0,1449,292,248
19393,11042,11292,2017,2,6,3,F,32200,143,139,1026,0,1201,176,164
19393,11292,10140,2017,2,6,1,F,32200,143,128,0,0,349,65,51
19393,11292,10713,2017,2,6,2,F,32200,143,121,944,0,649,110,97
19393,11292,11433,2017,2,6,3,F,32200,143,140,110,0,1123,155,137
19393,11292,11986,2017,2,6,3,F,32200,143,128,96,0,1015,145,128
19393,11292,13342,2017,2,6,2,F,32200,143,136,0,0,896,119,104
19393,11292,14057,2017,2,6,2,F,32200,143,133,0,0,991,153,138
19393,11292,14100,2017,2,6,4,F,32200,143,138,377,0,1558,201,180
19393,11292,14570,2017,2,6,2,F,32200,143,139,760,0,804,149,118
19393,11292,14635,2017,2,6,4,F,43400,175,163,0,0,1607,218,200
19393,11292,15370,2017,2,6,2,F,32200,143,141,26,0,541,89,73
19393,11433,11292,2017,2,6,3,F,32200,143,123,160,0,1123,172,153
19393,11986,11292,2017,2,6,3,F,32200,143,84,0,0,1015,153,137
19393,13495,11292,2017,2,6,3,F,43400,175,175,345,0,1062,153,137
19393,14122,11292,2017,2,6,3,F,32200,143,143,569,0,1290,205,189
19393,14570,11292,2017,2,6,2,F,32200,143,140,0,0,804,121,102
19393,14635,11292,2017,2,6,4,F,43400,175,171,0,0,1607,228,212
19393,14893,11292,2017,2,6,2,F,32200,143,140,6,0,909,133,118
20452,10397,11292,2017,2,6,3,F,21803,76,61,0,0,1199,182,159
20452,11109,11292,2017,2,6,1,F,21803,76,73,0,0,73,43,17
20452,11292,11042,2017,2,6,3,F,21803,76,70,0,0,1201,164,139
20452,11292,11109,2017,2,6,1,F,21803,76,65,0,0,73,50,21
20452,11292,11423,2017,2,6,2,F,19092,70,60,0,0,589,98,74
20452,11292,12278,2017,2,6,1,F,19092,70,33,0,0,420,98,64
20452,11292,13871,2017,2,6,1,F,21803,76,65,0,0,472,89,64
20452,11292,14869,2017,2,6,1,F,21803,76,69,0,0,391,89,66
20452,12278,11292,2017,2,6,1,F,19092,70,52,0,0,420,90,68
20452,14730,11292,2017,2,6,3,F,21803,76,67,0,0,1024,177,153
20452,15370,11292,2017,2,6,2,F,21803,76,52,0,0,541,100,80
20436,11193,11292,2017,2,6,3,F,30000,150,134,0,0,1069,162,143
20436,11292,11066,2017,2,6,3,F,30000,150,143,0,0,1154,161,142
20436,11292,11433,2017,2,6,3,F,30000,150,64,0,0,1123,153,133
20436,11292,12266,2017,2,6,2,F,36000,180,178,0,0,862,183,109
20436,11292,12339,2017,2,6,2,F,30000,150,113,0,0,977,153,135
20436,11292,13204,2017,2,6,4,F,37200,180,180,0,0,1546,213,189
20436,11292,13204,2017,2,6,4,F,30000,150,126,0,0,1546,228,183
20436,11292,13486,2017,2,6,2,F,36000,180,136,0,0,679,119,95
20436,11292,13930,2017,2,6,2,F,37200,180,180,0,0,888,134,111
20436,11292,13930,2017,2,6,2,F,30000,150,110,0,0,888,131,113
20436,11292,14107,2017,2,6,2,F,37200,180,145,0,0,602,113,83
20436,11292,15016,2017,2,6,2,F,36000,180,151,0,0,770,115,93
20436,11292,15412,2017,2,6,3,F,36000,180,136,0,0,1162,139,123
20436,11433,11292,2017,2,6,3,F,30000,150,142,0,0,1123,193,154
20436,12264,11292,2017,2,6,3,F,37200,180,132,0,0,1452,220,194
20436,12266,11292,2017,2,6,2,F,36000,180,171,0,0,862,152,125
20436,12339,11292,2017,2,6,2,F,30000,150,150,0,0,977,163,145
20436,13204,11292,2017,2,6,4,F,36000,180,169,0,0,1546,214,192
20436,13486,11292,2017,2,6,2,F,36000,180,102,0,0,679,112,84
20436,13930,11292,2017,2,6,2,F,37200,180,180,0,0,888,179,134
20436,14107,11292,2017,2,6,2,F,36000,180,142,0,0,602,112,88
20436,15016,11292,2017,2,6,2,F,36000,180,152,0,0,770,152,121
20436,15304,11292,2017,2,6,4,F,37200,180,4,0,0,1506,210,188
20436,15412,11292,2017,2,6,3,F,36000,180,140,0,0,1162,172,159
20107,11292,11298,2017,2,6,2,G,107634,0,0,16753,0,641,191,159
20107,11292,12339,2017,2,6,2,G,136966,0,0,14986,0,977,136,115
20107,11292,13198,2017,2,6,2,G,104189,0,0,50142,0,533,216,181
20107,11292,13495,2017,2,6,3,G,104402,0,0,23383,0,1062,176,151
20107,11292,14869,2017,2,6,1,G,107840,0,0,47075,0,391,95,72
20107,11292,15376,2017,2,6,2,G,104608,0,0,42470,0,639,108,90
20107,11921,14869,2017,2,6,1,G,107931,0,0,42190,0,216,60,42
20107,12339,11292,2017,2,6,2,G,136966,0,0,13780,0,977,147,129
20107,13198,11292,2017,2,6,2,G,193214,0,0,114987,0,533,101,82
20107,13244,11921,2017,2,6,3,G,107931,0,0,42190,0,1061,221,198
20107,13796,11292,2017,2,6,2,G,193732,0,0,30465,0,957,133,115
20416,11292,11433,2017,2,6,3,F,29000,145,144,0,0,1123,153,133
20416,12266,11292,2017,2,6,2,F,29000,145,127,0,0,862,159,142
20378,13502,12891,2017,2,6,2,F,20210,79,66,0,0,593,128,99
20237,11292,11413,2017,2,6,1,F,11118,50,45,0,0,250,72,53
20237,11413,11292,2017,2,6,1,F,11118,50,47,0,0,250,62,45
20237,11986,11292,2017,2,6,3,F,11118,50,43,0,0,1015,157,141
20398,11298,13502,2017,2,6,2,F,12350,50,44,0,0,722,113,97
20398,13502,11298,2017,2,6,2,F,12350,50,48,1,0,722,164,120
20358,11292,14877,2017,2,6,1,F,27000,114,88,0,0,383,535,436
20358,14877,11292,2017,2,6,1,F,27000,114,94,0,0,383,617,526
20366,11109,15016,2017,2,6,2,F,10000,50,47,0,0,773,144,124
